,from,to,from_xy,to_xy,walking,driving,lat,long
390,16,6,"(11.25564, 43.76968)","(11.255431699999999, 43.7708275)",210.2,49.1,43.76968,11.25564
391,16,7,"(11.25564, 43.76968)","(11.255705099999998, 43.772806)",335.2,130.7,43.76968,11.25564
392,16,8,"(11.25564, 43.76968)","(11.2531435, 43.767925)",281.8,420.6,43.76968,11.25564
393,16,9,"(11.25564, 43.76968)","(11.2541477, 43.7681911)",231.3,409.6,43.76968,11.25564
394,16,10,"(11.25564, 43.76968)","(11.250670199999998, 43.767161200000004)",481,551.3,43.76968,11.25564
395,16,11,"(11.25564, 43.76968)","(11.2554649, 43.7730912)",812.4,130.7,43.76968,11.25564
396,16,12,"(11.25564, 43.76968)","(11.24938, 43.77463)",745.5,608.6,43.76968,11.25564
397,16,13,"(11.25564, 43.76968)","(11.26282, 43.76298)",873.9,663.6,43.76968,11.25564
398,16,14,"(11.25564, 43.76968)","(11.25433, 43.77003)",164.9,50.3,43.76968,11.25564
399,16,15,"(11.25564, 43.76968)","(11.255230000000001, 43.77313)",812.4,130.7,43.76968,11.25564
400,16,17,"(11.25564, 43.76968)","(11.248335, 43.762288)",1080.6,825,43.76968,11.25564
401,16,18,"(11.25564, 43.76968)","(11.264966000000001, 43.762705)",1130.9,647.1,43.76968,11.25564
402,16,19,"(11.25564, 43.76968)","(11.255056, 43.773106)",374,130.7,43.76968,11.25564
403,16,20,"(11.25564, 43.76968)","(11.256192, 43.769292)",17.6,245.1,43.76968,11.25564
404,16,21,"(11.25564, 43.76968)","(11.251878999999999, 43.777276)",818.1,462.3,43.76968,11.25564
405,16,22,"(11.25564, 43.76968)","(11.258814, 43.776761)",879.9,387.8,43.76968,11.25564
406,16,23,"(11.25564, 43.76968)","(11.264658, 43.77151)",622.7,278.6,43.76968,11.25564
407,16,-1,"(11.25564, 43.76968)","(11.247123, 43.772557)",756.3,647.3,43.76968,11.25564
408,17,0,"(11.248335, 43.762288)","(11.255693199999998, 43.772858299999996)",1265.7,1068.3,43.762288,11.248335
409,17,1,"(11.248335, 43.762288)","(11.2564189, 43.771534100000004)",1213.2,1110.6,43.762288,11.248335
410,17,2,"(11.248335, 43.762288)","(11.250781, 43.7700828)",862.1,958.5,43.762288,11.248335
411,17,3,"(11.248335, 43.762288)","(11.2534118, 43.7769185)",1593.9,1087.7,43.762288,11.248335
412,17,4,"(11.248335, 43.762288)","(11.255579699999998, 43.763469)",893.2,733.2,43.762288,11.248335
413,17,5,"(11.248335, 43.762288)","(11.2553108, 43.7677856)",964.3,850.7,43.762288,11.248335
414,17,6,"(11.248335, 43.762288)","(11.255431699999999, 43.7708275)",1109,1107.2,43.762288,11.248335
415,17,7,"(11.248335, 43.762288)","(11.255705099999998, 43.772806)",1265.7,1068.3,43.762288,11.248335
416,17,8,"(11.248335, 43.762288)","(11.2531435, 43.767925)",798.8,880.6,43.762288,11.248335
417,17,9,"(11.248335, 43.762288)","(11.2541477, 43.7681911)",887,869.6,43.762288,11.248335
418,17,10,"(11.248335, 43.762288)","(11.250670199999998, 43.767161200000004)",682.7,659.1,43.762288,11.248335
419,17,11,"(11.248335, 43.762288)","(11.2554649, 43.7730912)",1651.8,1068.3,43.762288,11.248335
420,17,12,"(11.248335, 43.762288)","(11.24938, 43.77463)",1345.2,1198.5,43.762288,11.248335
421,17,13,"(11.248335, 43.762288)","(11.26282, 43.76298)",1393.2,546.1,43.762288,11.248335
422,17,14,"(11.248335, 43.762288)","(11.25433, 43.77003)",985.2,1100.7,43.762288,11.248335
423,17,15,"(11.248335, 43.762288)","(11.255230000000001, 43.77313)",1651.8,1068.3,43.762288,11.248335
424,17,16,"(11.248335, 43.762288)","(11.25564, 43.76968)",1080.6,1082.1,43.762288,11.248335
425,17,18,"(11.248335, 43.762288)","(11.264966000000001, 43.762705)",1650.2,493.2,43.762288,11.248335
426,17,19,"(11.248335, 43.762288)","(11.255056, 43.773106)",1272.8,1068.3,43.762288,11.248335
427,17,20,"(11.248335, 43.762288)","(11.256192, 43.769292)",1063,1036.3,43.762288,11.248335
428,17,21,"(11.248335, 43.762288)","(11.251878999999999, 43.777276)",1543.3,1118.4,43.762288,11.248335
429,17,22,"(11.248335, 43.762288)","(11.258814, 43.776761)",1824.3,1043.9,43.762288,11.248335
430,17,23,"(11.248335, 43.762288)","(11.264658, 43.77151)",1676.3,934.7,43.762288,11.248335
431,17,-1,"(11.248335, 43.762288)","(11.247123, 43.772557)",1126,1013,43.762288,11.248335
432,18,0,"(11.264966000000001, 43.762705)","(11.255693199999998, 43.772858299999996)",1430.8,831.3,43.762705,11.264966000000001
433,18,1,"(11.264966000000001, 43.762705)","(11.2564189, 43.771534100000004)",1308.9,734.5,43.762705,11.264966000000001
434,18,2,"(11.264966000000001, 43.762705)","(11.250781, 43.7700828)",1334.8,1090.6,43.762705,11.264966000000001
435,18,3,"(11.264966000000001, 43.762705)","(11.2534118, 43.7769185)",1932.6,711.6,43.762705,11.264966000000001
436,18,4,"(11.264966000000001, 43.762705)","(11.255579699999998, 43.763469)",862.6,451.6,43.762705,11.264966000000001
437,18,5,"(11.264966000000001, 43.762705)","(11.2553108, 43.7677856)",1022.7,474.6,43.762705,11.264966000000001
438,18,6,"(11.264966000000001, 43.762705)","(11.255431699999999, 43.7708275)",1274.1,731.1,43.762705,11.264966000000001
439,18,7,"(11.264966000000001, 43.762705)","(11.255705099999998, 43.772806)",1430.8,831.3,43.762705,11.264966000000001
440,18,8,"(11.264966000000001, 43.762705)","(11.2531435, 43.767925)",1058.3,504.5,43.762705,11.264966000000001
441,18,9,"(11.264966000000001, 43.762705)","(11.2541477, 43.7681911)",1091.2,493.5,43.762705,11.264966000000001
442,18,10,"(11.264966000000001, 43.762705)","(11.250670199999998, 43.767161200000004)",1158.1,791.2,43.762705,11.264966000000001
